LAAL	AL	AP	DAL
1773.333	1773.333	0.739	2100.0
2340.0	2340.0	1.0	2340.0
2622.794	2498.438	0.875	3417.301
1930.0	1930.0	1.0	1930.0
1059.305	414.52	0.673	2396.343
6033.219	6033.219	0.579	8203.931
1480.0	1480.0	1.4	1480.0
1540.714	1449.351	0.858	1915.417
3367.893	3367.893	0.609	3900.0
2087.692	2087.692	0.827	3000.0
3249.988	2981.89	0.688	5413.274
5158.029	-2568.023	0.993	11500.0
1693.75	1242.361	1.352	1916.327
2793.882	2793.882	0.716	4306.919
930.0	930.0	1.0	930.0
941.372	-3609.223	0.703	3836.358
4991.429	4991.429	0.908	6324.118
1260.0	1260.0	1.0	1260.0
6892.457	5649.148	0.686	9447.993
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
5795.929	5795.929	0.739	7607.137
1400.0	1400.0	0.6	1400.0
4498.667	4498.667	0.921	4731.939
2489.286	2489.286	0.711	3140.408
4581.866	4581.866	0.611	6090.707
4039.51	3616.818	0.832	5708.225
4276.107	2611.179	0.86	6361.865
5085.882	5085.882	0.687	6591.904
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
1532.812	1532.812	0.595	1548.611
3786.081	3518.452	0.942	5625.444
1090.0	1090.0	0.571	1090.0
3573.135	416.46	1.053	6087.234
3279.859	3010.3	0.767	4190.156
6143.786	2761.059	1.216	8140.735
3871.071	3818.182	1.227	4874.847
3205.263	2881.263	0.894	5400.0
2876.429	2876.429	0.737	3208.264
4004.0	4004.0	0.793	4372.8
1110.0	1110.0	0.833	1110.0
890.0	890.0	0.571	890.0
3756.662	3756.662	0.688	4944.26
6638.357	6638.357	0.607	7625.397
3216.129	2677.857	0.806	4373.257
2271.429	2271.429	0.566	2400.0
3823.46	1467.097	1.957	4811.603
3721.515	3145.667	0.858	6632.948
3448.889	3448.889	0.886	3600.0
2464.317	2464.317	0.583	6000.0
4449.179	3472.632	1.194	7242.144
2757.273	2401.186	0.803	4805.6
2780.109	448.451	1.093	4040.882
2873.529	1436.433	0.775	4686.486
3058.321	3058.321	0.699	4200.0
5710.0	5710.0	1.182	5710.0
6756.955	5115.455	1.102	10200.0
3845.098	3845.098	0.669	4380.143
2301.0	1922.727	0.859	3109.44
4738.512	3175.317	0.797	7014.176
4630.196	4085.434	0.931	6434.861
4212.637	3056.233	0.872	5643.592
2336.667	2336.667	0.906	2754.0
2667.544	2036.905	1.123	3118.837
2421.25	1631.176	1.136	3267.326
2697.0	2608.471	0.881	3567.963
7750.968	7702.414	1.062	8400.0
1630.0	1630.0	1.0	1630.0
2048.667	2048.667	0.651	2100.0
3240.778	2044.768	1.091	4585.104
1950.0	1950.0	0.891	2301.422
4110.0	4110.0	1.2	4110.0
3180.818	3180.818	0.695	4200.0
1260.833	1260.833	0.751	1500.0
4940.99	4217.09	0.831	6474.245
4806.013	4479.111	0.951	6300.0
6340.0	6340.0	1.067	6340.0
4157.75	4157.75	0.778	5700.0
3437.143	3437.143	0.873	4713.061
1050.0	1050.0	1.0	1050.0
1414.0	1414.0	0.981	1500.0
2824.5	2665.0	0.926	4301.067
3723.0	3723.0	0.887	4981.406
1230.0	1230.0	1.0	1230.0
4126.928	3752.619	0.885	5686.691
3436.905	3316.167	0.831	4458.095
7900.0	7900.0	1.105	7900.0
6803.81	6803.81	0.777	9805.296
2761.768	2297.632	0.805	3780.395
4882.014	4882.014	0.61	10601.8
3615.188	3615.188	0.805	4451.025
3447.919	880.265	0.839	8100.0
3035.77	2471.622	0.838	5165.689
900.0	900.0	1.0	900.0
5181.4	3128.844	1.171	8245.025
1130.0	1130.0	0.6	1130.0
4173.826	4173.826	0.617	6154.719
5449.767	5449.767	0.672	7195.266
3694.632	3340.751	0.708	5569.077
4238.4	3533.5	1.026	5272.96
3102.917	3102.917	0.717	4850.851
4608.696	4472.727	0.956	6465.974
2285.979	1008.577	0.631	4857.722
2655.533	47.644	0.83	4129.9
4387.917	-5193.796	0.942	7259.45
1490.0	1490.0	0.667	1490.0
1530.0	1530.0	1.0	1530.0
2805.797	1578.261	0.926	4372.222
1960.0	1900.0	1.219	2100.0
5830.0	5830.0	1.2	5830.0
2662.548	2662.548	0.637	3547.347
3106.321	3106.321	0.575	3712.306
2792.324	1818.719	0.792	4363.948
3045.346	2570.837	0.79	6056.922
2807.546	2201.977	0.811	4018.538
3693.363	3693.363	0.606	4523.611
5301.905	5251.667	0.974	6184.58
2832.019	2522.083	1.02	5943.565
5605.368	4992.273	1.256	7500.0
5384.785	4001.452	1.153	9644.522
2882.728	1813.346	0.643	4656.371
4109.786	794.281	0.766	6073.117
2995.412	1722.489	1.417	4658.1
2175.033	1983.279	0.617	3725.196
3473.617	3323.303	0.751	5400.0
2954.436	2954.436	0.643	5400.0
4912.273	4860.25	1.042	6300.351
1140.0	1140.0	0.75	1140.0
3270.0	3270.0	1.0	3270.0
2936.944	2936.944	0.803	4323.945
8470.0	8470.0	0.905	8470.0
5470.476	5470.476	0.553	5828.795
3045.846	586.769	0.826	5400.0
3140.789	3140.789	0.669	3609.375
2649.0	2649.0	0.826	3000.0
4450.667	4312.0	1.105	6430.556
5075.0	5075.0	0.683	6121.488
6011.111	5645.828	0.739	8205.455
3583.228	2311.462	0.862	6231.856
5371.071	5371.071	0.741	6055.3
1240.0	1240.0	1.0	1240.0
1530.0	1530.0	1.2	1530.0
2966.518	2792.308	0.777	3858.449
3318.016	3318.016	0.714	4800.0
3624.223	2319.677	1.024	5971.662
4484.719	4484.719	0.77	6600.0
3297.013	1670.415	0.822	5557.85
1400.0	1400.0	1.0	1400.0
1280.0	1280.0	1.0	1280.0
3262.143	3262.143	0.843	3956.686
1160.0	1160.0	0.8	1160.0
5332.54	5184.283	0.704	9985.219
2098.0	1889.846	0.973	2700.0
5173.442	4269.495	1.044	7217.811
2761.677	-1291.416	0.84	5796.17
1010.0	1010.0	1.0	1010.0
10864.276	10560.615	1.037	12338.644
4430.0	4430.0	0.818	4430.0
4408.727	2671.216	0.771	8113.617
4056.945	2526.15	0.798	5728.775
1570.0	1570.0	1.0	1570.0
1750.0	1750.0	1.0	1750.0
11980.727	11389.87	1.176	14149.648
4716.944	4716.944	0.655	6781.406
4133.333	3175.0	0.981	5337.778
3137.419	3137.419	0.657	5150.4
2857.152	2857.152	0.655	3812.426
3336.952	1651.598	0.664	8544.641
3455.833	3455.833	0.809	5426.371
1830.8	1680.869	0.662	3017.7
4829.545	3607.955	0.75	6226.531
7528.485	7528.485	0.883	10936.108
2694.643	2611.688	1.083	3600.0
4880.595	4740.676	0.805	6098.242
990.0	990.0	1.0	990.0
3552.5	2501.458	1.035	5554.236
4054.848	3075.674	0.652	9669.628
3136.071	2762.571	0.747	4412.656
2245.425	2245.425	0.761	3415.744
3995.818	3995.818	0.787	6211.543
5002.961	4521.766	0.694	6501.289
3411.552	1818.927	0.873	5733.911
4207.254	4207.254	0.703	5700.0
4558.621	4190.714	0.701	7791.243
2839.845	-5350.751	0.807	5119.138
2663.95	2663.95	0.499	3232.831
2963.359	226.667	0.703	7824.47
3890.886	3066.209	1.74	11855.168
2344.028	1143.647	0.742	4267.06
4367.918	3043.467	1.182	6859.149
4413.769	4413.769	0.672	6739.938
5062.035	5062.035	0.577	6863.872
4185.771	4185.771	0.532	5785.458
1934.108	1253.54	0.623	3784.438
4160.852	3740.728	0.852	5637.375
2925.409	1821.861	0.658	6300.0
4104.524	1215.878	0.808	7745.631
2046.494	2046.494	0.652	2400.0
1627.988	1304.733	0.981	2060.52
3867.692	3867.692	0.754	3988.8
5914.622	4531.094	0.922	7993.747
8519.367	8519.367	0.734	12886.942
5880.0	5880.0	2.333	5880.0
1290.0	1290.0	0.833	1290.0
1490.0	1490.0	1.0	1490.0
2397.333	2397.333	0.619	4280.776
1878.958	1143.612	0.55	6300.0
2866.894	2557.417	0.87	4500.0
7904.806	7904.806	0.525	7557.342
5996.583	5996.583	0.622	10325.208
5912.818	5912.818	0.637	8066.657
1170.0	1170.0	1.0	1170.0
1370.0	1370.0	0.778	1370.0
3664.778	3352.98	0.778	5959.506
5430.0	5430.0	1.0	5430.0
2958.974	2671.014	0.889	3918.047
1934.135	1934.135	0.736	2312.708
3525.123	3525.123	0.695	4209.631
7140.0	7140.0	1.0	7140.0
3333.542	3333.542	0.396	3246.465
5167.276	5167.276	0.431	5584.5
2920.062	2920.062	1.111	2920.062
1913.263	1653.957	0.77	3146.599
2480.0	2185.455	0.729	5534.743
2335.892	2335.892	0.579	6917.514
4449.466	4449.466	0.625	7666.667
4433.515	4433.515	0.682	7015.529
3091.875	3091.875	0.786	5929.206
3369.391	3369.391	0.665	4952.101
6363.75	4837.361	0.988	8337.727
3967.451	1196.02	0.815	6306.062
2435.152	1825.833	0.701	3476.302
4507.604	4507.604	0.637	6531.481
3961.32	3961.32	0.509	8484.635
3056.914	-1918.8	1.166	5059.745
2727.523	807.315	0.882	5220.918
1450.0	1450.0	0.833	1450.0
1980.0	1980.0	0.7	1980.0
4174.243	3351.654	0.809	5305.58
1497.692	1497.692	0.516	2700.0
3063.882	2946.75	0.873	4141.661
2746.784	2746.784	0.794	3417.284
2002.877	2002.877	0.58	4974.879
2757.589	2757.589	0.807	5400.0
3040.688	2593.733	0.753	4385.893
4340.0	4340.0	0.754	4903.125
3403.905	2587.213	0.692	5393.673
4694.635	3334.058	1.097	6120.723
2590.366	-126.034	0.911	5878.715
2244.946	2244.946	0.535	2506.703
6028.772	6005.556	1.024	6956.399
2879.368	2743.667	0.891	3987.756
3842.644	2984.31	0.934	7359.798
5996.07	5873.752	0.718	9466.263
3232.895	3232.895	0.73	5405.273
3589.65	2984.147	0.668	6392.732
6261.25	5264.154	1.528	8100.0
3397.596	2933.451	0.677	5272.431
2593.511	2593.511	0.769	3600.0
3552.0	3552.0	0.66	3841.689
3636.364	3636.364	0.713	4857.143
4770.091	4770.091	0.606	5927.264
2905.714	2905.714	0.562	3812.334
2283.863	-448.36	0.639	5224.636
3780.433	782.668	0.72	6387.881
5179.566	3095.536	0.978	6967.385
2082.667	2001.0	0.958	3957.037
1644.0	1644.0	0.994	1800.0
2512.0	2512.0	0.739	3600.0
3448.231	3124.533	0.622	5784.175
3749.121	3749.121	0.733	5400.0
1270.0	1270.0	1.0	1270.0
2240.75	2240.75	0.853	3893.74
5707.412	5707.412	0.595	12864.462
2341.02	2341.02	0.531	7502.068
-511.23	-152844.352	0.582	47581.473
