LAAL	AL	AP	DAL
1448.333	1448.333	0.9	1557.778
831.0	-748.5	2.013	1452.2
902.941	812.5	0.715	2194.291
1930.0	1930.0	1.0	1930.0
403.882	167.461	0.548	1618.7
1924.196	1924.196	0.531	3940.681
1480.0	1480.0	1.0	1480.0
445.455	445.455	0.565	1220.165
1608.644	1608.644	0.419	2027.483
1162.587	1162.587	0.574	2128.099
1036.063	271.115	0.591	2710.135
2486.269	-905.254	0.696	4481.056
1016.667	5.556	1.299	1620.0
1174.423	1174.423	0.291	1550.8
930.0	930.0	1.25	930.0
-949.389	-949.389	0.402	2040.552
1951.25	1951.25	0.325	1450.1
1260.0	1260.0	1.0	1260.0
4607.715	2447.416	0.663	6084.91
1013.333	944.0	0.992	1257.778
1340.0	1340.0	1.0	1340.0
1797.696	-479.129	0.752	3729.136
1400.0	1400.0	1.2	1400.0
1591.905	1420.571	0.956	2760.741
1572.632	1068.158	0.891	2290.693
2576.599	2576.599	0.545	3582.537
1860.752	1187.895	0.747	3257.653
5236.571	5236.571	0.363	4685.35
3045.882	3045.882	0.212	1939.585
1290.0	1290.0	1.25	1290.0
1125.0	927.5	1.462	1500.0
1195.312	1195.312	0.606	1346.154
554.583	554.583	0.224	1000.0
874.286	874.286	0.691	1000.0
2135.143	2135.143	0.422	2355.689
1366.728	875.746	0.649	2161.273
2001.41	911.555	0.684	3427.275
1541.538	1161.818	0.85	2040.533
1360.923	1360.923	0.249	1028.571
1673.75	1673.75	0.518	1686.9
1085.909	1085.909	0.623	2500.0
878.095	851.667	1.134	1000.0
890.0	890.0	0.714	890.0
438.158	-1710.327	0.678	1982.396
1910.716	1910.716	0.556	2974.047
1137.961	-631.286	0.764	1882.469
1135.417	1023.81	0.943	1500.0
1524.138	968.0	0.806	2608.561
519.355	321.613	0.544	1628.366
1221.905	1221.905	0.738	1578.025
196.473	196.473	0.242	1500.0
424.887	424.887	0.499	1440.71
145.309	145.309	0.423	1061.224
202.667	-1694.545	0.685	1530.556
211.134	-1827.08	0.629	2532.742
1234.889	1234.889	0.186	2000.0
1082.667	113.697	0.895	2500.0
703.899	-1180.476	0.805	3597.344
2216.667	2216.667	0.643	4209.961
151.768	151.768	0.333	1500.0
1649.983	1649.983	0.483	3800.997
1923.736	1923.736	0.281	1610.769
1650.193	-458.722	0.771	2813.158
1212.857	1212.857	0.751	1714.667
812.698	812.698	0.269	1500.0
1642.4	660.0	1.055	2204.224
1160.222	1022.51	0.69	1846.358
1768.345	1768.345	0.192	1295.625
1271.667	1217.333	1.168	1500.0
1166.0	1166.0	0.504	2000.0
2098.39	1669.412	0.781	3613.296
1704.242	1704.242	0.671	2568.264
925.571	925.571	0.668	1552.1
1938.225	1760.87	0.72	3830.035
832.381	832.381	0.768	1069.375
2939.689	-86.34	0.928	4698.729
1210.462	1210.462	0.514	2468.878
1610.833	1188.167	1.091	3287.664
1868.4	1868.4	0.533	2627.975
835.0	835.0	0.215	1500.0
590.0	485.0	1.202	1000.0
668.0	668.0	0.802	1000.0
1698.333	1698.333	0.647	2520.118
818.638	247.059	0.693	1226.316
694.571	636.0	1.042	1000.0
2050.824	2050.824	0.33	2566.574
1019.214	1019.214	0.455	2039.862
284.689	284.689	0.173	1000.0
618.31	276.519	0.576	2802.559
1330.642	288.961	0.742	2621.548
5891.457	5891.457	0.397	3142.024
2531.813	2531.813	0.441	2977.751
2117.2	2117.2	0.454	2236.509
1132.343	959.644	0.604	2851.327
900.0	900.0	0.667	900.0
805.912	805.912	0.5	4001.657
817.333	817.333	0.954	1000.0
1517.382	1517.382	0.507	3228.136
268.728	268.728	0.339	1000.0
1843.329	1058.687	0.643	3615.718
1687.97	1472.184	0.666	3022.744
1989.167	1989.167	0.298	1439.911
1550.909	1550.909	0.357	2061.224
-1527.574	-1527.574	0.375	1504.094
1239.911	-366.797	0.652	2866.857
1597.553	-6014.213	0.775	4761.106
1490.0	1490.0	0.667	1490.0
1387.5	1387.5	0.997	1500.0
1137.931	-0.0	0.739	2312.128
1194.286	1014.286	1.073	1684.0
602.121	602.121	0.32	1298.182
841.152	841.152	0.491	3626.514
1124.205	1124.205	0.563	2056.461
1242.236	549.889	0.644	2186.168
685.781	685.781	0.542	2044.531
1171.228	-183.333	0.747	2698.006
1771.965	1771.965	0.548	3045.12
2494.113	2110.476	0.838	4110.413
1160.476	-163.393	0.797	2464.681
100.0	-1126.19	0.641	1286.984
3036.333	3036.333	0.452	3708.55
5660.236	-7466.923	1.303	11764.617
1324.638	395.229	0.569	3859.452
1171.538	1171.538	0.658	1713.314
1531.448	1531.448	0.336	1578.438
1197.389	1197.389	0.319	2099.834
1270.316	1270.316	0.475	1376.445
235.083	235.083	0.183	1500.0
1140.0	1140.0	1.0	1140.0
1496.591	1496.591	0.671	1953.333
1477.083	1477.083	0.565	2636.445
1458.889	1458.889	0.59	2755.725
2787.412	2787.412	0.45	3693.63
2890.256	2890.256	0.555	4150.876
1786.842	1786.842	0.435	2596.939
1250.833	1250.833	0.738	1747.5
1067.077	1067.077	0.578	2392.465
1472.917	413.393	0.808	2195.679
1406.461	1406.461	0.224	2181.818
