LAAL	AL	AP	DAL
2380.0	2380.0	1.0	2380.0
2340.0	2340.0	2.5	2340.0
2613.904	2500.852	0.869	3750.0
1930.0	1930.0	1.0	1930.0
2073.669	1623.344	0.717	3754.444
1950.428	1950.428	0.546	4848.236
1480.0	1480.0	1.0	1480.0
1155.064	845.833	0.866	2750.0
2828.207	2828.207	0.569	4057.778
2556.838	2556.838	0.892	3750.0
2957.676	2348.84	0.694	6647.989
4932.462	2548.909	0.753	8348.705
3250.0	3250.0	1.556	3250.0
3563.137	3563.137	0.607	3871.33
930.0	930.0	1.25	930.0
409.08	-3959.491	0.687	4851.528
3455.541	2341.905	1.133	6470.661
1260.0	1260.0	1.0	1260.0
5572.588	2461.757	0.73	7429.771
2080.0	2080.0	1.0	2080.0
1340.0	1340.0	1.0	1340.0
4512.065	4179.771	0.754	6320.212
1400.0	1400.0	1.2	1400.0
3125.0	3125.0	0.843	3750.0
3784.079	3700.0	1.124	4620.028
5914.837	5222.168	0.689	11162.304
3296.482	2114.762	0.929	4813.736
3677.153	2342.828	0.84	5312.109
5380.7	5380.7	0.711	7170.059
1290.0	1290.0	1.25	1290.0
1580.0	1580.0	1.5	1580.0
3250.0	3250.0	0.812	3250.0
2067.113	2067.113	0.719	3785.33
1090.0	1090.0	0.714	1090.0
3441.837	1853.095	0.947	5517.958
4346.771	4346.771	0.755	6242.216
10253.148	7657.102	1.419	13716.077
5430.0	5430.0	1.091	5430.0
2654.608	2004.286	0.936	3750.0
3076.071	3076.071	0.754	3750.0
2892.0	2892.0	0.796	3750.0
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.714	890.0
3172.941	2235.517	0.805	4703.875
3768.046	3768.046	0.711	5327.054
4095.152	3349.643	0.913	5750.0
2500.0	2500.0	0.857	2500.0
3173.25	3173.25	0.866	4782.48
3489.529	3324.744	0.763	5289.168
3710.0	3710.0	1.0	3710.0
1341.696	1341.696	0.543	3856.99
2709.63	1169.123	1.094	4696.31
1481.739	1108.696	0.679	3068.8
2983.167	741.189	1.113	5750.0
3939.927	2554.783	0.856	6788.193
2203.75	2203.75	0.603	3250.0
1669.683	1224.747	0.928	3000.0
2715.931	-1720.556	1.06	4428.101
4351.852	4351.852	0.676	6497.449
5384.615	5359.091	1.16	6893.491
5828.747	4378.976	0.848	8941.768
2499.375	1988.661	0.786	4251.111
2305.95	1673.541	0.689	3972.119
3125.0	3125.0	0.975	3750.0
3712.5	3385.714	1.314	4407.75
3467.171	2715.924	1.326	4367.6
1717.521	1717.521	0.726	3000.0
4209.301	4160.747	0.979	6773.996
1630.0	1630.0	1.2	1630.0
2780.0	2780.0	1.0	2780.0
2286.214	1789.538	0.838	3750.0
3470.0	3470.0	0.6	3470.0
1488.214	1282.714	0.928	2250.0
2746.618	2746.618	0.798	4961.153
1630.0	1630.0	0.889	1630.0
1965.018	-947.897	0.885	3522.673
1719.221	282.524	0.963	3222.975
3360.707	3008.485	1.059	5000.0
3198.375	3198.375	0.676	4644.064
1980.0	1980.0	0.598	2476.25
1050.0	1050.0	1.25	1050.0
1660.0	1660.0	0.8	1660.0
2145.0	2145.0	0.701	3116.272
2052.083	2052.083	0.72	3750.0
1230.0	1230.0	1.0	1230.0
1891.347	542.314	1.007	3997.21
3907.143	3819.333	0.876	5124.444
2547.953	2547.953	0.674	3978.893
3969.159	3640.513	0.811	7417.441
3882.392	3685.63	0.854	5013.1
2741.055	2741.055	0.569	5432.964
4059.591	4059.591	0.73	4771.176
2418.849	250.048	0.742	4267.809
1778.352	1778.352	0.53	3750.0
