LAAL	AL	AP	DAL
3521.83	3521.83	0.483	8162.235
9203.676	9203.676	0.501	13313.215
4880.091	-445.618	0.528	9750.792
8723.482	6722.325	0.536	20412.113
7588.715	7588.715	0.498	10353.896
5114.22	2763.542	0.521	17488.06
3542.984	-3615.353	0.53	12388.571
5103.451	5103.451	0.493	12672.196
2275.723	2275.723	0.503	7506.819
4625.196	3921.184	0.514	11192.292
5570.125	4652.328	0.518	12714.495
5495.375	5495.375	0.511	12166.072
3077.708	737.285	0.515	11772.542
15397.682	15397.682	0.486	18460.211
-1814.772	-11720.966	0.522	8125.224
7004.835	910.61	0.539	15239.482
8763.337	8763.337	0.494	14063.174
9353.344	9353.344	0.508	15301.41
1544.905	1544.905	0.477	8250.0
9049.163	5975.126	0.54	16043.735
7842.218	7842.218	0.506	13285.865
