LAAL	AL	AP	DAL
-1712.676	-2655.892	0.497	6756.398
10512.861	10512.861	0.501	17757.387
2618.147	-4412.091	0.527	9029.439
5974.193	5307.168	0.522	12901.591
5962.412	5962.412	0.487	7817.451
3952.376	-1141.019	0.526	16648.457
1648.05	-6236.937	0.526	8766.898
2647.169	2647.169	0.481	5562.905
900.847	900.847	0.501	7127.706
6179.27	745.783	0.532	11988.855
3517.106	580.017	0.518	9025.889
5435.399	5435.399	0.512	14567.864
3156.001	635.532	0.516	8191.708
2168.082	2168.082	0.457	5374.147
-2660.411	-14052.889	0.523	5596.766
7571.164	573.906	0.543	13620.938
9661.792	9661.792	0.456	7588.404
9235.025	9235.025	0.502	14497.528
-3062.944	-3062.944	0.488	4101.884
8301.706	6853.453	0.532	19280.039
2103.611	1355.805	0.509	12638.133
