LAAL	AL	AP	DAL
10146.847	10146.847	0.457	5947.791
11107.609	11107.609	0.488	9027.094
-9142.252	-22190.184	0.51	12823.208
8014.508	8014.508	0.514	11852.385
15532.161	15532.161	0.472	12062.271
9636.851	9636.851	0.514	16407.445
11149.995	11149.995	0.483	9200.715
22871.373	22871.373	0.469	18288.307
4775.522	4775.522	0.502	8419.402
6925.006	6925.006	0.48	7305.641
18824.111	18824.111	0.462	11494.085
12151.064	12151.064	0.488	8746.37
16283.903	16283.903	0.485	13080.601
8943.744	8943.744	0.463	8491.914
-8356.271	-14067.229	0.491	4970.754
20989.493	-1286.436	0.635	30718.266
19700.559	19700.559	0.467	13160.127
7453.512	-6518.31	0.563	29712.807
11001.937	11001.937	0.455	6254.231
17805.868	17805.868	0.493	13962.978
5494.112	4931.153	0.52	10969.967
