LAAL	AL	AP	DAL
22991.126	22991.126	0.422	8276.38
25591.433	25591.433	0.464	12950.78
16178.673	16178.673	0.466	9591.364
17390.752	17390.752	0.505	16462.153
19398.56	19398.56	0.466	13671.812
20587.305	20587.305	0.461	10751.523
17780.329	17780.329	0.465	10502.486
27166.248	27166.248	0.44	15643.411
18001.477	18001.477	0.478	12229.718
32124.178	32124.178	0.425	10448.095
27723.678	27723.678	0.465	14065.294
26063.59	26063.59	0.476	15998.023
30787.158	30787.158	0.477	22835.862
15937.467	15937.467	0.449	10132.208
7338.331	7338.331	0.474	10968.338
23926.424	11903.477	0.61	35666.565
26526.562	26526.562	0.458	16110.25
19693.091	19693.091	0.482	15153.173
10576.574	10576.574	0.448	8000.0
26649.503	26649.503	0.471	17065.925
18019.17	18019.17	0.484	14867.454
