LAAL	AL	AP	DAL
-627.281	-627.281	0.497	8564.709
5474.098	5474.098	0.512	11995.651
2206.986	-8268.231	0.535	6390.278
4893.233	1.088	0.533	8686.59
-976.81	-7912.365	0.516	5574.567
-246.977	-246.977	0.478	7134.257
446.519	-16257.311	0.547	5130.923
91.537	-7023.447	0.52	6055.222
-559.336	-4024.836	0.508	5101.175
4905.12	-9524.739	0.554	9326.47
5938.791	5938.791	0.515	9945.932
13947.067	13947.067	0.487	10537.985
25314.123	25314.123	0.456	11734.756
-106.606	-11646.299	0.538	8210.405
-4326.571	-15733.999	0.518	3815.082
4368.822	-10757.715	0.558	9482.123
5594.875	5594.875	0.494	8116.698
3225.568	-19039.835	0.574	18014.93
-2534.65	-2534.65	0.481	6261.007
8037.027	6585.334	0.531	14479.605
2829.988	-5051.898	0.536	6438.161
