LAAL	AL	AP	DAL
23287.474	23287.474	0.424	17374.699
29076.925	29076.925	0.442	17397.384
84700.788	84700.788	0.435	58167.414
8663.38	8663.38	0.525	19441.763
40279.819	40279.819	0.363	16531.321
29201.316	29201.316	0.479	25098.877
29731.009	29731.009	0.444	22266.18
64309.091	64309.091	0.302	26409.545
6286.09	6286.09	0.508	19432.728
37102.476	37102.476	0.501	33134.056
28529.138	28529.138	0.482	25493.906
47163.098	47163.098	0.44	28482.472
57308.149	57308.149	0.364	23566.899
48331.92	48331.92	0.452	35849.005
9332.046	9332.046	0.425	15121.1
77102.904	77102.904	0.487	62094.981
19063.5	19063.5	0.501	27296.391
10188.283	-11768.621	0.596	38892.738
34022.546	34022.546	0.376	16729.379
28373.507	28373.507	0.505	31233.131
6577.1	6577.1	0.517	21015.683
